state_code,city,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,diff_founded_first_funding,diff_founded_last_funding,negative_age_first_funding_year,negative_age_last_funding_year,negative_age_first_milestone_year,negative_age_last_milestone_year,abs_diff_founded_first_funding,abs_diff_founded_last_funding,is_outlier,founded_year,founded_at_days,first_funding_at_days,last_funding_at_days
1,10,6.5726,7.1562,3.055353047989624,4.754422568093385,1,3,148000000,0,8,1,0,0,1,0,0,3.5,1,0,6,7,0,0,0,0,6,7,0,2,5844,8243,8456
1,9,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,9,0,0,1,1,0,0,1.0,1,0,2,2,0,0,0,0,2,2,0,10,8401,9314,9434
1,1,0.0027,0.0027,0.0356,0.0356,2,1,500000,1,11,0,1,0,0,0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,9724,9723,9723
1,1,0.4959,1.2548,2.1726,4.6,21,2,6000000,2,11,0,1,1,0,0,0,4.0,1,1,0,1,1,0,0,0,0,1,0,10,8582,8401,9040
1,11,2.1616,3.2877,3.4986,7.6904,13,2,33000000,4,12,0,0,1,1,0,0,2.5,1,0,2,3,0,0,0,0,2,3,0,8,7671,8460,8871
1,12,0.5315,1.9205,2.2548,2.9781,12,3,2100000,2,9,1,1,0,0,0,0,4.0,1,0,1,2,0,0,0,0,1,2,0,0,9770,9964,10471
7,13,4.9342,4.9342,0.0,0.0,2,1,12000000,1,8,0,0,0,0,1,0,4.0,1,0,4,4,0,0,0,0,4,4,0,9,6210,8011,8011
0,0,0.7151,0.7151,0.7479,2.011,2,1,500000,2,1,0,1,0,0,0,0,1.0,1,0,1,1,0,0,0,0,1,1,0,5,9344,9605,9605
1,14,3.7233,3.7233,3.055353047989624,4.754422568093385,1,1,4000000,0,2,0,0,0,1,0,0,3.0,1,0,3,3,0,0,0,0,3,3,0,7,6575,7934,7934
1,15,10.7589,10.7589,3.055353047989624,4.754422568093385,0,1,2000000,0,13,0,0,0,0,0,0,1.0,0,0,10,10,0,0,0,0,10,10,0,11,4749,8676,8676
1,1,4.0027,5.7534,5.9233,6.0,6,4,89500000,2,14,0,0,0,1,1,0,1.0,1,0,4,5,0,0,0,0,4,5,0,4,7305,8766,9405
8,16,2.0466,2.0466,3.055353047989624,4.754422568093385,2,1,12000000,0,15,0,0,1,0,0,0,6.0,1,0,2,2,0,0,0,0,2,2,0,12,8766,9513,9513
1,1,0.5726,0.5726,5.1671,8.0082,12,1,15000000,2,16,0,0,1,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,8,7671,7880,7880
1,1,1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,17,0,1,1,0,0,0,2.0,0,0,-1,3,1,0,0,0,1,3,0,12,8766,8401,9976
1,17,1.9151,2.5808,2.0,6.9178,10,2,3600000,3,11,0,1,1,0,0,0,1.0,0,0,1,2,0,0,0,0,1,2,0,8,7671,8370,8613
4,4,2.0027,4.3863,1.5836,4.1918,7,4,30000000,2,16,0,1,1,1,0,0,2.0,1,0,2,4,0,0,0,0,2,4,0,4,7305,8036,8906
0,0,11.3342,11.3342,3.055353047989624,4.754422568093385,3,1,7410000,0,13,1,0,0,0,0,0,3.0,1,0,11,11,0,0,0,0,11,11,0,13,4383,8520,8520
1,17,1.7479,3.5452,2.0,2.0,4,2,80000000,1,17,0,0,1,1,0,0,1.0,0,0,1,3,0,0,0,0,1,3,0,8,7671,8309,8965
9,18,1.0356,1.0356,0.0,1.0356,2,1,1000000,2,11,0,1,0,0,0,0,1.0,0,0,1,1,0,0,0,0,1,1,0,1,10074,10452,10452
8,19,0.6767,0.789,0.0,0.0,2,2,125000,1,18,0,1,0,0,0,0,1.0,0,0,1,1,0,0,0,0,1,1,0,14,10440,10687,10728
10,20,5.1397,5.1397,7.0055,7.0055,2,1,5000000,1,19,1,0,0,0,0,0,1.0,0,0,5,5,0,0,0,0,5,5,0,6,6940,8816,8816
0,0,1.1836,1.3781,1.3288,3.1096,7,2,1900000,2,11,0,1,1,0,0,0,2.5,1,0,1,1,0,0,0,0,1,1,0,5,9132,9564,9635
1,21,0.0,1.4137,1.4137,1.4137,1,2,3350000,1,10,0,1,1,0,0,0,2.5,1,0,0,1,0,0,0,0,0,1,0,5,9132,9132,9648
7,22,7.6932,14.0329,12.5041,14.0329,3,3,24150000,2,3,1,0,1,1,0,0,2.3333,1,0,7,14,0,0,0,0,7,14,0,15,5114,7922,10236
1,23,0.8164,0.8164,3.055353047989624,4.754422568093385,0,1,2000000,0,19,0,0,0,0,0,0,1.0,0,0,1,1,0,0,0,0,1,1,0,0,9724,10022,10022
11,24,2.4658,4.8329,0.5863,5.6164,4,2,5000000,6,11,0,0,1,1,0,0,1.0,0,0,2,5,0,0,0,0,2,5,0,3,8187,9087,9951
9,25,0.0,0.0,3.055353047989624,4.754422568093385,1,1,45000000,0,11,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,9709,9709,9709
4,4,2.8247,2.8247,0.0,2.8219,1,1,20000000,2,3,0,0,1,0,0,0,1.0,0,0,2,2,0,0,0,0,2,2,0,12,8766,9797,9797
1,26,1.0685,1.0685,0.8384,3.9918,4,1,4300000,3,19,0,0,1,0,0,0,2.0,1,0,1,1,0,0,0,0,1,1,0,10,8460,8850,8850
1,27,6.4767,7.3507,5.0055,5.0055,2,2,43000000,1,3,0,0,0,0,1,1,1.0,1,0,6,7,0,0,0,0,6,7,0,2,5844,8208,8527
1,12,0.3342,0.2301,3.055353047989624,4.754422568093385,5,2,5000000,0,17,1,1,0,0,0,0,1.0,1,0,-1,0,1,0,0,0,1,0,0,12,8766,8644,8850
12,28,11.1452,11.1452,3.055353047989624,4.754422568093385,0,1,18000000,0,7,0,0,0,1,0,0,7.0,1,0,11,11,0,0,0,0,11,11,0,13,4383,8451,8451
1,27,4.0137,4.0137,3.055353047989624,4.754422568093385,0,1,7000000,0,7,0,0,0,0,1,0,1.0,0,0,4,4,0,0,0,0,4,4,0,6,6940,8405,8405
5,6,2.4493,2.4493,3.055353047989624,4.754422568093385,0,2,1000000,0,3,1,1,0,0,0,0,2.0,0,0,2,2,0,0,0,0,2,2,0,3,8187,9081,9081
1,1,3.4986,3.4986,3.0,3.0,6,1,5000000,1,15,0,0,1,0,0,0,1.0,1,0,3,3,0,0,0,0,3,3,0,8,7671,8948,8948
0,29,0.8904,0.8904,1.3288,2.526,15,1,4000000,2,17,0,0,1,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,9497,9822,9822
1,9,5.4904,5.4904,0.0,0.0,1,1,3170000,1,11,0,0,1,0,0,0,2.0,0,0,5,5,0,0,0,0,5,5,0,7,6575,8579,8579
0,0,2.0027,3.0027,2.0877,4.0685,7,2,2000000,3,20,1,1,0,0,0,0,3.0,0,0,2,3,0,0,0,0,2,3,0,10,8401,9132,9497
13,30,0.2849,0.2849,0.0,0.2849,2,1,1200000,2,19,0,0,1,0,0,0,4.0,1,0,0,0,0,0,0,0,0,0,0,5,9313,9417,9417
14,31,1.9863,1.9863,3.055353047989624,4.754422568093385,3,1,8500000,0,4,1,0,0,0,0,0,1.0,0,0,-2,-2,1,1,0,0,2,2,0,10,8401,7676,7676
0,0,2.0,2.0,1.0274,3.1644,8,1,200000,3,17,0,1,0,0,0,0,2.0,1,0,2,2,0,0,0,0,2,2,0,0,9497,10227,10227
4,32,2.4192,3.0904,0.1616,3.9699,3,2,1310000,4,11,0,1,0,0,0,0,1.0,0,0,2,3,0,0,1,0,2,3,0,8,7730,8613,8858
1,33,2.4521,3.6027,3.055353047989624,4.754422568093385,9,2,4000000,0,21,0,0,1,0,0,0,1.0,1,0,2,3,0,0,0,0,2,3,0,5,9132,10027,10447
4,34,4.2959,4.2959,5.0027,5.0027,3,1,5000000,1,3,1,0,0,0,0,0,5.0,1,0,4,4,0,0,0,0,4,4,0,9,6210,7778,7778
1,35,1.7616,2.326,0.8767,3.0274,12,2,3529175,3,11,1,0,1,0,0,0,1.0,0,0,2,2,0,0,0,0,2,2,0,10,8644,9287,9493
15,36,1.8055,1.8055,3.055353047989624,4.754422568093385,1,1,3000000,0,3,0,0,1,0,0,0,1.0,1,0,1,1,0,0,0,0,1,1,0,10,8401,9060,9060
9,37,2.5534,6.3945,6.6356,6.6356,15,2,12800000,1,3,0,0,1,1,0,0,2.0,1,0,2,6,0,0,0,0,2,6,0,8,7805,8737,10139
2,38,1.811,2.4548,0.7479,0.7479,2,2,1175000,1,3,1,0,0,0,0,0,1.0,0,0,1,2,0,0,0,0,1,2,0,0,9497,10158,10393
0,0,0.0082,1.1479,0.0219,1.2274,5,3,900000,3,22,0,1,0,0,0,0,1.5,1,0,0,1,0,0,1,0,0,1,0,1,9998,10001,10417
1,39,3.7589,5.0685,3.055353047989624,4.754422568093385,2,3,30926154,0,23,0,0,0,1,0,0,3.0,1,0,3,5,0,0,0,0,3,5,0,12,8766,10138,10616
1,10,0.7671,0.7671,0.0,0.0,1,1,50000,1,10,0,1,0,0,0,0,1.0,0,0,1,1,0,0,0,0,1,1,0,5,9313,9593,9593
4,4,1.5151,1.7644,0.7479,0.7479,6,2,2238055,1,9,1,1,0,0,0,0,1.0,1,0,1,1,0,0,0,0,1,1,0,0,9497,10050,10141
1,14,1.0521,0.6247,1.3589,1.663,11,2,3700000,3,9,1,0,0,0,0,0,3.0,0,0,-2,0,1,0,1,0,2,0,0,1,9862,9478,10090
1,1,0.3288,0.337,0.4082,0.8712,5,2,1015000,2,24,0,1,0,0,0,0,5.0,1,0,0,0,1,0,0,0,0,0,0,0,9617,9497,9740
1,10,3.5288,3.5288,3.055353047989624,4.754422568093385,1,1,2000000,0,8,0,0,0,0,0,0,1.0,1,0,3,3,0,0,0,0,3,3,0,10,8401,9689,9689
16,40,0.5014,0.5014,3.055353047989624,4.754422568093385,1,1,150000,0,22,0,1,0,0,0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,10210,10027,10027
15,41,2.0301,9.3808,9.0055,9.0055,10,4,49600000,1,8,0,0,0,1,1,0,2.6667,1,0,2,9,0,0,0,0,2,9,0,6,6940,7681,10364
1,1,1.4137,4.2795,1.3288,5.1836,5,2,889999,2,17,1,1,0,0,0,0,3.5,1,0,1,4,0,0,0,0,1,4,0,3,8036,8552,9598
0,0,0.7479,0.7479,3.055353047989624,4.754422568093385,3,2,100000,0,19,0,1,0,0,0,0,1.0,0,0,1,1,0,0,0,0,1,1,0,0,9648,9921,9921
1,14,0.2466,1.0,1.1616,1.1616,3,5,185000,1,17,1,1,0,0,0,0,2.0,1,0,0,1,0,0,0,0,0,1,0,0,9497,9587,9862
6,42,0.2247,0.9534,0.5808,1.0685,2,2,700000,2,11,0,1,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,9497,9579,9845
1,11,1.4247,4.5397,3.055353047989624,4.754422568093385,0,3,18700000,0,7,1,0,1,0,0,0,2.0,1,0,1,4,0,0,0,0,1,4,0,3,8036,8556,9693
15,43,0.2384,3.7644,2.4192,3.8795,10,4,33000000,3,3,0,0,1,1,1,0,4.0,1,0,0,4,0,0,0,0,0,4,0,3,8253,8340,9627
15,41,0.0,0.0,0.274,0.863,5,1,20000,2,17,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9617,9617,9617
15,41,2.6247,2.6247,2.874,4.3014,1,1,48000000,3,15,1,0,0,0,0,0,5.0,1,0,2,2,0,0,0,0,2,2,0,12,8766,9724,9724
15,41,4.8247,4.8247,0.2466,0.2466,1,1,5000000,1,17,1,0,0,0,0,0,1.0,1,0,4,4,0,0,0,0,4,4,0,8,7671,9432,9432
1,44,0.0,0.0,0.737,0.737,2,1,50000,1,24,0,1,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,12,8948,8948,8948
1,1,1.1699,1.4986,0.0849,5.3863,3,2,4700000,4,11,0,1,1,0,0,0,1.5,1,0,2,2,0,0,0,0,2,2,0,8,8005,8432,8552
1,1,0.0849,1.3342,3.055353047989624,4.754422568093385,6,2,500000,0,3,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,0,0,1,0,12,8979,9010,9466
1,1,0.6658,3.989,5.0849,7.3699,27,3,11015719,4,17,1,0,1,0,0,0,2.0,1,0,0,4,0,0,0,0,0,4,0,3,8067,8310,9523
7,45,7.2521,9.2274,6.0027,6.0027,1,3,52000000,1,6,1,0,0,1,0,0,2.6667,1,0,7,9,0,0,0,0,7,9,0,15,5114,7761,8482
1,17,8.4959,8.4959,9.0055,9.0055,5,1,44000000,1,13,0,0,0,0,0,1,8.0,1,0,8,8,0,0,0,0,8,8,0,16,5479,8580,8580
1,7,2.5808,2.5808,3.0027,4.6082,4,1,20000000,2,3,0,0,0,1,0,0,4.0,1,0,2,2,0,0,0,0,2,2,0,3,8036,8978,8978
0,46,1.9699,3.9205,3.055353047989624,4.754422568093385,2,2,23000000,0,1,1,0,0,0,0,0,3.0,1,0,2,4,0,0,0,0,2,4,0,4,7579,8298,9010
1,1,0.6685,0.6685,0.7973,5.2849,1,1,1300000,3,11,0,1,0,0,0,0,8.0,1,0,1,1,0,0,0,0,1,1,0,10,8552,8796,8796
17,47,4.3699,4.3699,3.055353047989624,4.754422568093385,0,1,662000,0,21,0,0,1,0,0,0,3.0,0,0,4,4,0,0,0,0,4,4,0,12,8766,10361,10361
0,48,0.0849,0.0849,0.0,0.0,1,1,31000,1,11,0,1,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,9740,9771,9771
15,41,4.4521,7.2274,7.0055,7.0055,5,2,5992316,1,9,1,0,1,0,0,0,2.0,0,1,4,7,0,0,0,0,4,7,0,6,6940,8565,9578
2,49,1.411,2.5151,3.055353047989624,4.754422568093385,0,2,1213066,0,9,1,0,0,0,0,0,1.0,1,0,1,2,0,0,0,0,1,2,0,5,9132,9647,10050
1,50,1.4712,0.1369999999999999,3.055353047989624,4.754422568093385,0,4,435953,0,11,0,1,0,0,0,0,1.0,0,0,-1,0,1,1,0,0,1,0,0,0,9709,9172,9659
7,45,1.2384,4.9726,1.0,1.0,1,5,13130000,1,11,1,0,1,0,0,0,2.0,1,0,1,4,0,0,0,0,1,4,0,3,8036,8488,9851
1,9,0.0,0.6411,1.5836,3.0685,11,2,41000000,2,4,0,0,1,1,0,0,1.5,1,0,0,1,0,0,0,0,0,1,0,0,9709,9709,9943
0,51,0.1534,0.1534,3.055353047989624,4.754422568093385,4,1,600000,0,11,0,1,0,0,0,0,2.0,0,0,1,1,0,0,0,0,1,1,0,1,10180,10236,10236
11,52,0.5836,4.4301,1.2521,2.1452,5,4,7516703,3,17,1,1,0,0,0,0,1.0,0,0,0,4,0,0,0,0,0,4,0,12,8766,8979,10383
7,22,0.1671,0.1671,0.5863,0.5863,3,1,20000,1,19,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9556,9617,9617
1,53,0.8301,1.0986,1.1014,1.1616,6,2,4500000,2,11,0,1,1,0,0,0,3.0,1,0,0,1,0,0,0,0,0,1,0,0,9528,9831,9929
9,54,1.9562,3.5123,3.4986,3.4986,1,2,2408500,1,22,0,1,0,0,0,0,3.0,1,0,1,3,0,0,0,0,1,3,0,12,8766,9480,10048
8,55,10.9068,10.9068,9.2548,9.2548,5,1,275000,1,3,0,1,0,0,0,0,2.0,0,0,10,10,0,0,0,0,10,10,0,2,5844,9825,9825
9,18,1.063,2.4822,0.0,1.3068,1,2,950000,2,17,1,0,1,0,0,0,3.0,1,0,1,2,0,0,0,0,1,2,0,0,9556,9944,10462
1,1,4.5315,4.5315,5.5288,5.5288,1,1,1310000,1,25,1,0,0,0,0,0,4.0,1,0,4,4,0,0,0,0,4,4,0,3,8036,9690,9690
9,18,1.0356,2.1479,1.5808,1.5808,2,2,1050000,1,11,1,0,0,0,0,0,1.0,0,0,1,2,0,0,0,0,1,2,0,5,9132,9510,9916
9,18,4.3836,5.9562,5.4986,5.4986,5,2,55000000,1,13,1,0,0,1,0,0,4.0,1,0,4,5,0,0,0,0,4,5,0,3,8036,9636,10210
18,56,0.0,0.0,0.0,0.0,2,1,15000,1,11,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,14,10255,10255,10255
1,1,0.7123,2.2849,1.9507,2.2822,5,2,5200000,2,20,1,0,1,0,0,0,1.0,1,0,1,2,0,0,0,0,1,2,0,0,9740,10000,10574
2,49,1.011,1.4877,0.4055,1.3205,3,2,125000,2,19,1,1,0,0,0,0,1.0,1,0,-1,1,1,0,0,0,1,1,0,5,9135,8766,9678
1,57,4.4466,8.0849,6.5863,6.5863,4,6,49008830,1,13,1,0,1,0,1,0,3.0,1,0,4,8,0,0,0,0,4,8,0,4,7305,8928,10256
1,10,1.063,5.7014,3.055353047989624,4.754422568093385,0,3,44000000,0,8,0,0,0,1,1,0,4.5,1,0,1,5,0,0,0,0,1,5,0,8,7671,8059,9752
15,41,0.7479,0.8192,1.7507,0.2521,7,2,3500000,2,9,0,1,1,0,0,0,1.0,1,0,0,1,1,0,1,0,0,1,0,5,9405,9132,9704
15,41,4.9562,10.3151,3.055353047989624,4.754422568093385,0,4,39000000,0,7,1,0,1,0,0,0,3.0,0,0,5,10,0,0,0,0,5,10,0,2,6026,7835,9791
19,58,2.337,2.337,0.5808,2.3726,5,1,4000000,4,17,0,0,1,0,0,0,1.0,1,0,3,3,0,0,0,0,3,3,0,12,9040,9893,9893
1,21,0.4658,1.2247,0.0,1.2247,5,2,300000,2,24,0,1,0,1,0,0,2.0,1,0,0,1,0,0,0,0,0,1,0,0,9617,9787,10064
1,44,10.8795,10.8795,15.4986,15.4986,3,1,1000000,1,8,0,0,1,0,0,0,2.0,1,0,10,10,0,0,0,0,10,10,1,17,4018,7989,7989
20,59,8.0219,14.9726,4.0027,4.0027,4,7,162264126,1,13,1,0,0,1,1,1,6.75,1,0,8,14,0,0,0,0,8,14,0,11,4749,7677,10214
1,53,9.7315,9.7315,6.0027,6.0027,2,1,8000000,1,3,1,0,0,0,0,0,3.0,1,0,9,9,0,0,0,0,9,9,0,15,5114,8666,8666
1,53,2.6658,2.6658,3.055353047989624,4.754422568093385,6,1,5500000,0,11,0,0,1,0,0,0,1.0,1,0,2,2,0,0,0,0,2,2,0,4,7336,8309,8309
16,40,1.1671,4.6658,3.055353047989624,4.754422568093385,1,3,15564591,0,19,1,0,0,1,1,0,3.5,1,0,1,4,0,0,0,0,1,4,0,8,7791,8217,9494
0,0,9.0466,9.0466,6.0466,3.8822,6,1,100000,2,19,0,1,0,0,0,0,1.0,0,0,-9,-9,1,1,1,1,9,9,0,18,10698,7396,7396
5,60,20.8055,20.8055,3.055353047989624,4.754422568093385,2,1,32000000,0,3,0,0,0,1,0,0,7.0,1,0,20,20,0,0,0,0,20,20,1,19,366,7960,7960
4,4,1.3096,1.3096,1.0027,1.3096,3,1,500000,2,1,0,0,1,0,0,0,1.0,1,0,1,1,0,0,0,0,1,1,0,12,8766,9244,9244
2,49,0.0822,0.0822,3.055353047989624,4.754422568093385,2,1,25000,0,6,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,5,9283,9313,9313
6,61,1.0,0.0,1.5863,0.863,9,2,55600000,2,16,0,0,1,1,0,0,2.0,0,0,-1,0,1,0,1,0,1,0,0,12,8766,8401,8766
1,11,4.5452,7.8603,3.055353047989624,4.754422568093385,2,2,28500000,0,13,1,0,0,1,0,0,4.5,1,0,4,7,0,0,0,0,4,7,0,7,6575,8234,9444
21,62,5.4411,5.4411,3.055353047989624,4.754422568093385,1,1,1000000,0,3,0,0,1,0,0,0,3.0,0,0,5,5,0,0,0,0,5,5,0,2,5844,7830,7830
20,63,21.8959,21.8959,24.6849,24.6849,1,1,8000000,1,3,1,0,0,0,0,0,2.0,0,0,21,21,0,0,0,0,21,21,1,20,0,7992,7992
1,26,1.4959,1.6658,0.0,7.5233,2,2,30150000,3,19,0,0,1,1,0,0,1.5,1,0,1,1,0,0,0,0,1,1,0,3,8036,8582,8644
1,14,1.3259999999999998,2.7096,4.3699,6.462999999999999,6,2,29000000,3,3,0,0,0,1,1,0,2.5,1,1,2,3,0,0,0,0,2,3,0,4,7645,8129,8634
10,64,0.3288,0.3288,0.4192,0.4192,3,1,20000,1,11,0,1,0,0,0,0,1.0,0,0,0,0,0,0,1,1,0,0,0,5,9132,9252,9252
7,65,1.2466,2.1616,2.0,3.8137,14,2,32000000,4,16,0,0,1,1,0,0,3.5,1,0,1,2,0,0,0,0,1,2,0,8,7671,8126,8460
5,66,0.2986,0.2986,0.2986,0.2986,1,1,19000,1,1,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,14,10227,10336,10336
1,9,0.6767,1.4493,0.0,0.0,2,2,21189,1,17,1,1,0,0,0,0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,9862,10109,10391
10,67,7.8877,10.6658,0.4137,0.4137,2,3,42700000,1,15,1,0,0,1,0,0,3.6667,1,0,7,10,0,0,0,0,7,10,0,9,6210,9089,10103
0,0,0.3315,4.0027,2.3644,3.6685,8,4,1449998,3,22,1,1,0,0,0,0,1.0,1,0,0,4,0,0,0,0,0,4,0,12,8766,8887,10227
7,68,0.5836,1.3425,0.0,1.5479,4,7,457282,2,17,1,1,0,0,0,0,1.0,1,0,0,1,1,0,0,0,0,1,0,12,8979,8766,9469
7,69,8.0986,12.3671,11.8411,12.0548,11,4,24200000,2,3,1,0,1,0,1,0,2.3333,1,0,8,12,0,0,0,0,8,12,0,16,5479,8435,9993
0,0,0.8658,6.1233,5.0027,5.0027,5,4,11400000,1,9,1,0,0,1,0,0,3.0,1,0,-1,6,1,0,0,0,1,6,0,3,8036,7720,10271
20,63,0.8164,5.5616,4.5562,7.9863,8,4,32500000,3,9,0,0,1,1,1,1,2.75,1,0,1,5,0,0,0,0,1,5,0,8,7761,8059,9791
1,70,0.2493,0.2493,0.0,0.7781,1,1,20000,2,11,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9648,9739,9739
13,71,1.2849,1.2849,0.0,0.0,1,1,15000,1,1,0,1,0,0,0,0,1.0,0,0,2,2,0,0,0,0,2,2,0,5,9393,9862,9862
22,72,3.9205,6.7342,3.055353047989624,4.754422568093385,3,3,44000000,0,23,1,0,0,1,1,0,2.3333,1,0,3,6,0,0,0,0,3,6,0,3,8036,9467,10494
7,65,3.5068,0.3945,0.937,0.0849,5,3,11300000,2,11,1,0,0,1,1,0,1.0,1,0,-4,0,1,0,1,0,4,0,0,0,9497,8217,9641
1,73,0.5808,0.5808,3.055353047989624,4.754422568093385,13,1,500000,0,26,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9497,9709,9709
11,74,1.8822,1.8822,1.0,1.0,2,1,10000000,1,3,0,0,1,0,0,0,2.0,1,0,1,1,0,0,0,0,1,1,0,3,8036,8723,8723
1,75,0.0,0.0,3.055353047989624,4.754422568093385,3,1,120000,0,2,0,1,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,12,8766,8766,8766
11,76,2.3178,4.2356,0.3342,0.3342,2,2,10600000,1,17,1,0,0,1,0,0,3.0,1,0,2,4,0,0,1,1,2,4,0,6,6940,7786,8486
9,18,1.0575,1.7699,1.0301,1.1123,6,3,132885,2,24,0,1,0,0,0,0,1.0,1,0,1,2,0,0,0,0,1,2,0,0,9763,10149,10409
7,77,5.0082,5.0082,3.055353047989624,4.754422568093385,2,1,980000,0,3,0,0,0,0,0,0,1.0,0,0,5,5,0,0,0,0,5,5,0,9,6210,8038,8038
23,78,4.9041,4.9041,3.055353047989624,4.754422568093385,0,1,350000,0,11,1,0,0,0,0,0,1.0,0,0,4,4,0,0,0,0,4,4,0,4,7305,9095,9095
5,79,6.8356,8.3096,3.055353047989624,4.754422568093385,5,2,7300000,0,13,1,0,1,0,0,0,3.0,1,0,6,8,0,0,0,0,6,8,0,2,5844,8339,8877
15,80,3.6685,5.5589,3.055353047989624,4.754422568093385,0,3,9100000,0,3,1,0,0,1,1,0,1.0,0,0,3,5,0,0,0,0,3,5,0,6,6940,8279,8969
1,1,0.6685,0.6685,0.9151,0.863,7,1,50000,2,19,0,1,0,0,0,0,3.0,0,0,1,1,0,0,1,0,1,1,0,10,8735,8979,8979
1,1,2.2164,2.2164,0.7479,3.4164,5,1,1000000,4,17,0,0,1,0,0,0,1.0,1,0,2,2,0,0,0,0,2,2,0,3,8036,8845,8845
15,81,4.2795,4.2795,3.055353047989624,4.754422568093385,4,1,9000000,0,4,0,0,0,0,0,1,2.0,1,0,4,4,0,0,0,0,4,4,0,6,6940,8502,8502
1,9,0.8027,0.8027,5.3151,5.3151,4,1,1200000,1,3,0,0,1,0,0,0,1.0,0,0,1,1,0,0,0,0,1,1,0,8,7800,8093,8093
24,82,1.3973,1.3973,3.055353047989624,4.754422568093385,1,1,205000,0,16,0,1,0,0,0,0,1.0,0,0,2,2,0,0,0,0,2,2,0,3,8297,8807,8807
